symbol,company_name,series,primary_index,all_indices
HONAUT,Honeywell Automation India Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
HSCL,Himadri Speciality Chemical Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
HUDCO,Housing & Urban Development Corporation Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
HYUNDAI,Hyundai Motor India Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
ICICIBANK,ICICI Bank Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
ICICIGI,ICICI Lombard General Insurance Company Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
IDBI,IDBI Bank Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IDEA,Vodafone Idea Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
IDFCFIRSTB,IDFC First Bank Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
IEX,Indian Energy Exchange Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IFCI,IFCI Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IGIL,International Gemological Institute Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IGL,Indraprastha Gas Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IIFL,IIFL Finance Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IKS,Inventurus Knowledge Solutions Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
INDGN,Indegene Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
INDHOTEL,Indian Hotels Co. Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
INDIACEM,India Cements Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
INDIAMART,Indiamart Intermesh Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
INDIANB,Indian Bank,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
INDIGO,InterGlobe Aviation Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
INDUSINDBK,IndusInd Bank Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
INDUSTOWER,Indus Towers Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
INFY,Infosys Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
INOXWIND,Inox Wind Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
INTELLECT,Intellect Design Arena Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IOB,Indian Overseas Bank,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IOC,Indian Oil Corporation Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
IPCALAB,Ipca Laboratories Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
IRB,IRB Infrastructure Developers Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IRCON,IRCON International Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
IREDA,Indian Renewable Energy Development Agency Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
IRFC,Indian Railway Finance Corporation Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
ITC,ITC Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
ITCHOTELS,ITC Hotels Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
ITI,ITI Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
J&KBANK,Jammu & Kashmir Bank Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JAINREC,Jain Resource Recycling Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JBMA,JBM Auto Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JINDALSAW,Jindal Saw Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JINDALSTEL,Jindal Steel Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
JIOFIN,Jio Financial Services Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
JKCEMENT,J.K. Cement Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
JKTYRE,JK Tyre & Industries Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JMFINANCIL,JM Financial Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JPPOWER,Jaiprakash Power Ventures Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JSL,Jindal Stainless Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
JSWCEMENT,JSW Cement Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
JSWDULUX,JSW Dulux Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
